rank,feature,importance
1,total_area,0.795952475178111
2,district_name_Moskovskij,0.07141346930551891
3,district_name_Petrogradskij,0.05798714936973489
4,district_name_Centralnyj,0.0507215946893403
5,kitchen_area,0.0053601654882648436
6,central_heating_No,0.004707252463504583
7,central_heating_Yes,0.004612424510362106
8,district_name_Nevskij,0.0032796548009341245
9,bath_area,0.0012019094804509515
10,rooms_count,0.0011929288174860136
11,year,0.0006754401034547607
12,bath_count,0.0005554561393693947
13,other_area,0.0004944365847190417
14,floor,0.00047816686012470304
15,ceil_height,0.00044413807077163016
