feature,importance
num__total_area,0.7960745791534327
cat__district_name_Moskovskij,0.07135635281882863
cat__district_name_Petrogradskij,0.0579246998711124
cat__district_name_Centralnyj,0.050655232502897045
num__kitchen_area,0.005365483492716526
cat__central_heating_Yes,0.004702208089391722
cat__central_heating_No,0.00463611353939285
cat__district_name_Nevskij,0.0032670689425735484
num__bath_area,0.0011963045190361103
num__rooms_count,0.001194341151286179
num__year,0.0006844120168598888
num__bath_count,0.0005642531288708496
num__other_area,0.0004994881278163171
num__floor,0.00048082001989857895
num__ceil_height,0.00044971168964722907
num__floor_max,0.00030521157414866096
num__extra_area,0.00023455947401340051
num__extra_area_count,0.00015892247767435703
cat__gas_Yes,4.2148935383226736e-05
cat__gas_No,4.204595962955979e-05
